,Year,Host,Teams,Champion,Runner-Up,TopScorrer,Attendance,AttendanceAvg,Matches
0,2022,Qatar,32,Argentina,France,Kylian Mbappé - 8,3404252,53191,64
1,2018,Russia,32,France,Croatia,Harry Kane - 6,3031768,47371,64
2,2014,Brazil,32,Germany,Argentina,James Rodríguez - 6,3429873,53592,64
3,2010,South Africa,32,Spain,Netherlands,"Wesley Sneijder, Thomas Müller... - 5",3178856,49670,64
4,2006,Germany,32,Italy,France,Miroslav Klose - 5,3352605,52384,64
5,2002,"Korea Republic, Japan",32,Brazil,Germany,Ronaldo - 8,2705337,42271,64
6,1998,France,32,France,Brazil,Davor Šuker - 6,2903477,45367,64
7,1994,United States,24,Brazil,Italy,"Hristo Stoichkov, Oleg Salenko - 6",3587538,68991,52
8,1990,Italy,24,West Germany,Argentina,Salvatore Schillaci - 6,2516215,48389,52
9,1986,Mexico,24,Argentina,West Germany,Gary Lineker - 6,2394031,46039,52
10,1982,Spain,24,Italy,West Germany,Paolo Rossi - 6,2109723,40572,52
11,1978,Argentina,16,Argentina,Netherlands,Mario Kempes - 6,1545791,40679,38
12,1974,Germany,16,West Germany,Netherlands,Grzegorz Lato - 7,1865753,49099,38
13,1970,Mexico,16,Brazil,Italy,Gerd Müller - 10,1603975,50124,32
14,1966,England,16,England,West Germany,Eusébio - 9,1563135,48848,32
15,1962,Chile,16,Brazil,Czechoslovakia,"Leonel Sánchez, Flórián Albert... - 4",893172,27912,32
16,1958,Sweden,16,Brazil,Sweden,Just Fontaine - 13,819810,23423,35
17,1954,Switzerland,16,Germany,Hungary,Sándor Kocsis - 11,768607,29562,26
18,1950,Brazil,15,Uruguay,Brazil,Ademir - 8,1045246,47511,22
19,1938,France,16,Italy,Hungary,Leônidas - 7,375700,20872,18
20,1934,Italy,16,Italy,Czechoslovakia,Oldřich Nejedlý - 5,363000,21353,17
21,1930,Uruguay,13,Uruguay,Argentina,Guillermo Stábile - 8,590549,32808,18
22,2023,"Australia, New Zealand",32,,,Hinata Miyazawa - 5,1976274,30879,64
23,2019,France,24,United States,Netherlands,"Alex Morgan, Megan Rapinoe... - 6",1095118,21902,52
24,2015,Canada,24,United States,Japan,"Célia Šašić, Carli Lloyd - 6",1353486,26029,52
25,2011,Germany,16,Japan,United States,Homare Sawa - 5,248107,31013,32
26,2007,China PR,16,Germany,Brazil,Marta - 7,1176955,36780,32
27,2003,United States,16,Germany,Sweden,Birgit Prinz - 7,656789,20525,32
28,1999,United States,16,United States,China PR,"Sun Wen, Sissi - 7",1214215,37944,32
29,1995,Sweden,12,Norway,Germany,Ann Kristin Aarønes - 6,112294,4319,26
30,1991,China PR,12,United States,Norway,Michelle Akers - 10,515000,19808,26
